"timestamp","total_cpu_pct","pid","name","cpu_total_sec","handles","mem_mb","threads"
"2026-09-18T22:10:42.2424620+09:00","100","2784","ChatGPT","1557.03","2137","315.6","58"
"2026-09-18T22:10:42.2424620+09:00","100","14172","python","1228.92","220","41.3","3"
"2026-09-18T22:10:42.2424620+09:00","100","14180","python","1215.48","217","34.7","2"
"2026-09-18T22:10:42.2424620+09:00","100","84348","claude","1183.84","510","665.2","21"
"2026-09-18T22:10:42.2424620+09:00","100","73588","rustdesk","1142.45","857","118.6","54"
"2026-09-18T22:10:42.2424620+09:00","100","14196","thunderbird","1054.81","1447","440.3","72"
"2026-09-18T22:10:42.2424620+09:00","100","5008","ChatGPT","989.34","329","462.3","17"
"2026-09-18T22:10:42.2424620+09:00","100","67016","chrome","925.22","1073","157.8","50"
"2026-09-18T22:10:42.2424620+09:00","100","69788","claude","880.83","827","166.1","35"
"2026-09-18T22:10:42.2424620+09:00","100","19092","chrome","836.42","2646","337.2","45"
"2026-09-18T22:10:42.2424620+09:00","100","37000","ChatGPT","826.34","846","89.5","39"
"2026-09-18T22:10:42.2424620+09:00","100","3032","rustdesk","737.58","272","24","12"
"2026-09-18T22:10:42.2424620+09:00","100","60496","claude","639.5","2029","435.3","68"
"2026-09-18T22:10:42.2424620+09:00","100","48048","chrome","497.7","773","61.7","18"
"2026-09-18T22:10:42.2424620+09:00","100","52816","python","494.67","344","37.9","18"
"2026-09-18T22:10:42.2424620+09:00","100","51064","WindowsTerminal","420.3","1109","202.5","53"
"2026-09-18T22:10:42.2424620+09:00","100","76500","pythonw","367.44","438","24.4","14"
"2026-09-18T22:10:42.2424620+09:00","100","69260","claude","355.47","310","520","23"
"2026-09-18T22:10:42.2424620+09:00","100","37520","caddy","343.03","420","47.9","15"
"2026-09-18T22:10:42.2424620+09:00","100","66092","explorer","307.72","4967","300.8","121"
"2026-09-18T22:10:42.2424620+09:00","100","22396","sakura","304.25","311","21.8","4"
